S Haroche
D J Wineland
K S Novoselov
A K Geim
A Fert
P W Higgs
F Englert
S Perlmutter
K C Kao
W S Boyle
G E Smith
Y Nambu
M Kobayashi
T Maskawa
P Grunberg
J C Mather
G Smoot
R J Glauber
J L Hall
T W Hänsch
D J Gross
F Wilczek
H D Politzer
A A Abrikosov
A J Leggett
R Davis
M Koshiba
R Giacconi
E A Cornell
C E Wieman
W Ketterle
H Kroemer
Z I Alferov
M Veltman
G ’t Hooft
R B Laughlin
D C Tsui
H L Stormer
S Chu
C Cohen-Tannoudji
W D Phillips
D D Osheroff
D M Lee
R C Richardson
F Reines
M L Perl
